no,칸,문장,판정(positive/negative/neutral),메모
1,장점,특허 업무에 대한 이해와 습득이 매우 빠름,,
2,단점,"업무관련 전문지식을 조금 더 쌓을 필요가 있으며, 조금 더 넓은 시야를 가질 필요가 있음",,
3,장점,사업소장으로써 책임감과 리더쉽으로 각부서 진두지휘를 잘해주십니다,,
4,장점,상하 직원간 원활한 교류 및 업무관련 수집능력 탁월,,
5,장점,"업무 열의 , 업무 진지한 태도",,
6,장점,ㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇ,,
7,단점,보완필요점은 없습니다,,
8,단점,비전과 정책을 명확히 제시,,
9,장점,토목분야의 전문지식이 뛰어남,,
10,장점,업무에 대한 열의로 항상 모범이 됩니다,,
11,단점,업무에 대한 능력은 우수하나 주변과 융화력이 부족함,,
12,단점,보완사항이 없습니다,,
13,장점,"업무에 대한 열의, 적극성, 능동적",,
14,단점,적극적인 업무처리와 열의,,
15,단점,타 부서와의 업무에 비협조적인 태도,,
16,단점,특별이 보완필료성이 없읍니다,,
17,단점,자신의 업무에 최고의 실력을 위해 노력함,,
18,장점,솔선수범으로 어려움 극복,,
19,단점,업무열의 다소 부족,,
20,단점,보완 필요점 없습니다,,
21,장점,본인의 일이 아닌것을 물어보면 친절하게 설명해줌,,
22,장점,업무지식 및 노하우 함양,,
23,단점,단점이라 할 만한 것이 없음,,
24,단점,민원이나 중요한 일이 발생했을 때 책임지고 해결하려는 자세가 부족함,,
25,단점,타부서를 아우르는 협업,,
26,단점,보완필요성 없어요,,
27,단점,보완점 없습니다,,
28,단점,보완필요점이 없습니다,,
29,단점,특별히 보완필요점 없음,,
30,단점,다른 부서 직원들과 의사소통이 조금 부족함,,
31,단점,특별한 보완 필요점이 없음,,
32,장점,업무 추진에 적극적이며 전문성을 보유,,
33,단점,보완필요점이 없습니다,,
34,장점,주어진 업무를 성실하게 수행함,,
35,장점,수평적 의사소통과 부드러운 리더십,,
36,단점,업무에 대한 능력향상에 노력을 기울일 필요가 있음,,
37,단점,보완필요점 없습니다,,
38,단점,보완의 필요가 없슴,,
39,단점,경영 목표를 명확하게 전달하고 각인,,
40,장점,"적극적인 마인드, 업무 능숙함",,
41,장점,부서 전체를 아우르는 경영자적 마인드로 부드러운 카리스마를 겸비하시고 모든 일에 솔선수범하심,,
42,단점,특별하게 없습니다,,
43,장점,매끄러운 민원업무 처리,,
44,장점,"안전문화 형성에 관심이 많으며, 항상 토론과 대화로 문제해결하려고 노력함",,
45,단점,창의적 아이디어가 아쉬움,,
46,단점,자신의 업무를 타인에게 넘기려함,,
47,장점,업무 의사소통이 탁월 구성원들의 자발적 참여유도 적극적임,,
48,단점,보완필요점이 없습니다,,
49,장점,사실에 기반하여 객관적인 판단을 내리고 조직의 미래를 결정하는데 기여함,,
50,장점,동료들과 좋은 관계를 유지합니다,,
51,장점,전력 분양에 대한 전문적 지식을 바탕으로 우수한 성과가 창출될 수 있도록 노력하고 적극적으로 문제 해결에 참여해 주위 동료들에게 리더로서 모범을 보임,,
52,장점,직원들과 소통충분함,,
53,단점,일을 너무 열심히 하는게 단점,,
54,장점,깊은 배려심으로 구성원들에게 좋은 영향력을 줌,,
55,단점,타 부서원과의 소통이 부족함,,
56,장점,현업에 문제가 생겼을때 원인을 잘 분석하여 해결방안을 효율적으로 찾습니다,,
57,장점,다년간의 업무 노하우를 통하여 적재적소에 효율적을 업무함,,
58,장점,업무전문성과 부드러운 카리스마 보유,,
59,단점,수평적 의사소통과 부드러운 리더십,,
60,장점,업무를 열심히 한다,,
61,장점,"약관, 지침 등의 해박한 지식과 유연한 사고방식으로 어떠한 문제를 해결하는데 특히 뛰어나며, 다각적으로 상황을 분석하고 회사에 이익을 줄 수 있는 것에 대해 끊임없이 생각함",,
62,단점,구시대적 사고를 보유,,
63,단점,특별한 보완점 없음,,
64,단점,폭 넓은 경험으로 현장에서 보다 가르침을 주시면 좋겠습니다,,
65,장점,항상 밝은 모습으로 부서내 분위기를 밝게 조성하며 팀원간 의사소통 능력이 뛰어남,,
66,장점,새로운 도전의식과 솔선수범 자세로 업무에 몰입하며 조직의 목표를 달성한다,,
67,단점,보완필요점이 보이지 않습니다,,
68,단점,특별히 보완필요점을 찾기 어려움,,
69,단점,고압적으로 세세하게 지시 감독하는 성향이 강하며,,
70,단점,직원들과 긴밀한 유대관계 요구,,
71,단점,업무 시스템을 개선하기 위해 노력,,
72,장점,소홀함이 없도록 최선을 다함,,
73,장점,본인 맡은일에 잘 적응하고 있어요,,
74,단점,업무를 묵묵히 수행함,,
75,단점,별도 보완사항 없음,,
76,단점,보고서나 문서 작성시 불필요한 수정을 강요함,,
77,장점,특유의 성실함과 책임감으로 임무를 완수함,,
78,단점,특이 보완사항 없음,,
79,장점,전문 자격증 보유로 업무향상에 기여,,
80,단점,보완필요점 없습니다,,
81,단점,여러가지 업무 경험 필요,,
82,장점,수평적 의사소통과 문제 해결에 앞장서는 태도를 보임,,
83,단점,보완할 점이 많다고 생각하지 않음,,
84,단점,보완 필용성이 없음,,
85,단점,업무협업능력이 좋으며 대인관계가 좋음,,
86,단점,협업능력을 조금 더 기르는 것이 좋을 것 같다,,
87,장점,"리도십,소통,업무처리능력이좋습니다",,
88,단점,별다른 특이사항 없음,,
89,장점,"조직목표 달성을 위해 적극적인 마인드로 업무에 임하고, 폭넓은 지식을 보유하여 업무에 능숙함",,
90,장점,부드러운 리더십 / 분위기 주도,,
91,단점,특별하게 보완해야 할 사항 없음,,
92,단점,딱히 보완할점이 없음,,
93,장점,"수평적 의사소통과 부드러운 리더십으로 문제해결에 앞장서며, 구성원들의 자발적 참여를 유도함",,
94,단점,###############,,
95,단점,보완필요점이 없습니다,,
96,단점,차장으로서 직원들의 의사결정을 도와줄 필요가 있음,,
97,장점,주어진 업무에 매우 성실하고 적극적임,,
98,장점,"분위기 주도, 창의적 도전 격려",,
99,장점,업무 전문지식이 뛰어나며  업무능력이 탁월,,
100,장점,부드럽고 유연한 업무처리,,
